followers_count,following_count,tweet_count,days_antiquity,description_length,username_digits,class
613.0,29.0,143647.0,3895.0,156.0,0.0,0
43.0,10.0,158.0,1464.0,1.0,0.0,0
19.0,514.0,2201.0,1464.0,74.0,2.0,0
327.0,766.0,3819.0,1464.0,84.0,0.0,0
6092.0,6660.0,177753.0,1464.0,143.0,0.0,0
79.0,11.0,5127.0,1464.0,126.0,0.0,0
16.0,99.0,1632.0,1463.0,34.0,0.0,0
8.0,42.0,336.0,1463.0,10.0,8.0,0
24.0,215.0,1781.0,1463.0,123.0,1.0,0
15.0,40.0,1350.0,1463.0,,8.0,0
54.0,166.0,11478.0,1463.0,61.0,8.0,0
103.0,387.0,1326.0,1463.0,94.0,0.0,0
17.0,125.0,150.0,1463.0,28.0,4.0,0
43.0,293.0,3399.0,4978.0,,0.0,0
41.0,99.0,5156.0,1462.0,7.0,0.0,0
292.0,393.0,28874.0,1462.0,15.0,1.0,0
18.0,38.0,74.0,1461.0,19.0,1.0,0
1096.0,1297.0,95684.0,1461.0,,4.0,0
1320.0,1638.0,91928.0,1460.0,31.0,0.0,0
384.0,1231.0,12004.0,4977.0,158.0,1.0,0
21.0,56.0,3014.0,1460.0,,0.0,0
592.0,1858.0,110466.0,1459.0,,2.0,0
50.0,62.0,6834.0,1457.0,69.0,1.0,0
8.0,93.0,1918.0,1456.0,,8.0,0
261.0,798.0,3240.0,3893.0,82.0,8.0,0
16.0,122.0,169.0,1450.0,160.0,8.0,0
66.0,67.0,23004.0,1448.0,,8.0,0
76.0,91.0,11548.0,3893.0,7.0,0.0,0
10.0,23.0,312.0,1447.0,2.0,0.0,0
6812.0,6779.0,133884.0,1442.0,143.0,6.0,0
349.0,243.0,8031.0,4975.0,,0.0,0
57.0,221.0,6445.0,4975.0,,0.0,0
28.0,116.0,1215.0,1439.0,141.0,0.0,0
2.0,148.0,63.0,1431.0,134.0,0.0,0
6.0,156.0,5187.0,3891.0,,1.0,0
153.0,268.0,1531.0,1427.0,,8.0,0
156.0,680.0,8135.0,1424.0,152.0,2.0,0
22.0,176.0,785.0,3890.0,,0.0,0
35.0,96.0,661.0,1422.0,99.0,0.0,0
16.0,201.0,1087.0,1421.0,,2.0,0
183.0,533.0,2130.0,1420.0,,8.0,0
169.0,1324.0,2904.0,1418.0,,8.0,0
226.0,551.0,7960.0,4973.0,42.0,0.0,0
14.0,113.0,1805.0,1418.0,61.0,0.0,0
575.0,2455.0,22717.0,1417.0,,2.0,0
105.0,26.0,58249.0,4973.0,137.0,0.0,0
38.0,417.0,2600.0,3889.0,,0.0,0
5.0,108.0,130.0,1411.0,14.0,1.0,0
3.0,84.0,337.0,1406.0,42.0,0.0,0
63.0,45.0,22541.0,1405.0,30.0,0.0,0
90.0,260.0,2746.0,4971.0,32.0,0.0,0
39.0,91.0,3973.0,1400.0,1.0,8.0,0
542.0,225.0,78402.0,1399.0,29.0,8.0,0
9.0,108.0,1595.0,1398.0,,4.0,0
62.0,230.0,2258.0,1396.0,91.0,0.0,0
1.0,31.0,1413.0,1389.0,,2.0,0
123.0,276.0,13789.0,1387.0,,1.0,0
48.0,246.0,3586.0,1387.0,126.0,8.0,0
316.0,352.0,19520.0,4969.0,23.0,0.0,0
175.0,344.0,10650.0,3886.0,86.0,0.0,0
1028.0,353.0,5404.0,4969.0,81.0,0.0,0
11.0,51.0,647.0,1381.0,8.0,8.0,0
2355.0,135.0,12565.0,1380.0,147.0,0.0,0
357.0,452.0,22009.0,1379.0,,0.0,0
276.0,395.0,18419.0,4969.0,9.0,4.0,0
283.0,2323.0,11823.0,1378.0,29.0,2.0,0
417.0,390.0,87072.0,1375.0,24.0,8.0,0
